timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779511906.3006735,1.89,468.57,146.66,179.91,727.86,57.8,0.3116
1779511906.838647,1.93,506.92,160.55,198.19,727.57,49.8,0.3116
1779511907.3712802,1.93,500.64,158.3,201.35,727.57,59.9,0.3116
1779511907.8848875,1.91,482.59,133.88,207.29,727.38,47.0,0.3116
1779511908.4007823,1.91,486.92,145.85,200.06,727.83,45.6,0.3116
1779511908.9069061,1.96,475.62,136.16,198.41,727.88,58.6,0.3116
1779511909.4033263,1.96,465.44,131.84,192.59,727.48,42.5,0.3116
1779511909.898355,1.96,465.55,127.99,196.75,727.48,38.2,0.3116
1779511910.3996267,2.01,471.19,131.87,198.76,727.89,43.3,0.3116
1779511910.844953,2.01,415.19,114.39,159.75,727.57,46.0,0.3116
1779511911.3406575,2.01,466.97,126.26,199.82,727.41,39.2,0.3116
1779511911.8394456,2.08,467.9,128.48,196.96,727.61,39.9,0.3116
1779511912.3076503,2.08,438.2,108.48,185.17,727.51,49.4,0.3116
1779511912.7761922,2.08,438.48,117.64,180.43,727.28,48.6,0.3116
1779511913.245679,2.13,439.9,119.18,179.93,727.7,46.7,0.3116
1779511913.7180376,2.13,441.18,107.69,189.91,726.81,54.0,0.3116
1779511914.2245324,2.13,474.82,134.23,199.08,727.91,47.5,0.3116
1779511914.722531,2.03,467.5,127.92,198.57,728.05,40.9,0.3116
1779511915.223404,2.03,470.99,128.6,196.61,727.68,38.0,0.3116
1779511915.7349348,1.98,481.19,140.34,199.43,727.77,42.3,0.3116
1779511916.2434258,1.98,478.6,131.33,202.37,727.35,40.1,0.3116
1779511916.772172,1.93,499.08,131.73,226.77,727.98,44.1,0.3116
